ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Diesel,SUV,120000,Manual,MAHINDRA,2010,650000,Third Party,7 Seats,Second Owner,2179,12.05,120,Bangalore,15
Petrol,Hatchback,40000,Automatic,MINI,2016,3675000,Comprehensive,4 Seats,First Owner,1998,17.33,189.08,Bangalore,9
Petrol,Hatchback,60932,Manual,TATA,2019,610000,Comprehensive,5 Seats,First Owner,1199,23.84,83.83,Bangalore,6
Petrol,SUV,33539,Automatic,KIA,2020,1675000,Comprehensive,5 Seats,Second Owner,1353,16.5,138.08,Bangalore,5
Petrol,Hatchback,66837,Manual,TATA,2018,530000,Comprehensive,5 Seats,Second Owner,1199,23.84,84,Bangalore,7
Diesel,Sedan,400,Automatic,MERCEDES-BENZ,2022,7990000,Third Party,5 Seats,First Owner,2143,11.9503321,281.61,Bangalore,3
Petrol,Hatchback,60000,Manual,MARUTI,2008,250000,Third Party,5 Seats,Second Owner,796,19.7,46.3,Bangalore,17
Petrol,Hatchback,44285,Manual,HYUNDAI,2019,715000,Third Party,5 Seats,First Owner,1197,18.6,81.86,Bangalore,6
Diesel,SUV,100000,Automatic,MERCEDES-BENZ,2014,3500000,Third Party,7 Seats,Second Owner,2987,11.3,254.8,Bangalore,11
Diesel,SUV,25000,Automatic,TATA,2021,2250000,Comprehensive,6 Seats,First Owner,1956,14.08,167.67,Bangalore,4
Petrol,Hatchback,36735,Manual,HYUNDAI,2018,625000,Comprehensive,5 Seats,First Owner,1197,18.9,81.86,Bangalore,7
Diesel,SUV,79000,Automatic,AUDI,2015,2695000,Comprehensive,7 Seats,First Owner,2967,12.07,241.4,Bangalore,10
Diesel,SUV,120000,Manual,MAHINDRA,2010,650000,Third Party,8 Seats,Second Owner,2179,12.05,120,Bangalore,15
Petrol,Hatchback,10000,Automatic,RENAULT,2022,550000,Third Party,5 Seats,First Owner,999,22,67,Bangalore,3
Diesel,SUV,53645,Manual,TATA,2018,825000,Comprehensive,5 Seats,First Owner,1497,21.5,108.5,Bangalore,7
Petrol,Hatchback,100000,Manual,HYUNDAI,2006,220000,Third Party,5 Seats,Second Owner,1341,15.3,81.85,Bangalore,19
Petrol,Hatchback,53982,Automatic,MARUTI,2014,428000,Comprehensive,5 Seats,First Owner,998,26.68,65.71,Bangalore,11
Diesel,Sedan,110000,Manual,SKODA,2014,695000,Third Party,5 Seats,First Owner,1498,21.14,103.52,Bangalore,11
Petrol,SUV,37741,Manual,FORD,2019,930000,Third Party,5 Seats,Second Owner,1496,15.9,120.69,Bangalore,6
Petrol,Hatchback,17367,Manual,MARUTI,2021,455000,Comprehensive,5 Seats,First Owner,796,22.05,47.33,Bangalore,4
Diesel,SUV,94000,Manual,HYUNDAI,2017,1195000,Comprehensive,5 Seats,First Owner,1582,19.67,126.2,Bangalore,8
Diesel,SUV,33700,Automatic,TATA,2021,2175000,Comprehensive,5 Seats,First Owner,1956,14.6,167.67,Bangalore,4
Petrol,Hatchback,54601,Manual,MARUTI,2014,442000,Comprehensive,5 Seats,Third Owner,1197,22.38,88.5,Bangalore,11
Diesel,Hatchback,110000,Manual,MARUTI,2018,690000,Third Party,5 Seats,First Owner,1248,28.4,74,Bangalore,7
Petrol,Hatchback,64000,Manual,MARUTI,2017,500000,Third Party,5 Seats,Second Owner,998,23.1,67.04,Bangalore,8
Diesel,Sedan,40525,Automatic,BMW,2016,3395000,Comprehensive,5 Seats,First Owner,1995,21.76,188,Bangalore,9
Diesel,Sedan,100000,Manual,MARUTI,2015,650000,Third Party,5 Seats,First Owner,1248,26.21,88.5,Bangalore,10
Petrol,Hatchback,44154,Automatic,HONDA,2016,537000,Comprehensive,5 Seats,Second Owner,1199,19,88.7,Bangalore,9
Diesel,MUV,70000,Manual,RENAULT,2016,750000,Third Party,7 Seats,First Owner,1461,19.98,108.5,Bangalore,9
Petrol,Sedan,79000,Automatic,SKODA,2018,1790000,Comprehensive,5 Seats,First Owner,1798,15.1,178,Bangalore,7
Petrol,Hatchback,68039,Manual,TATA,2017,468000,Third Party,5 Seats,Second Owner,1199,23.84,84,Bangalore,8
Petrol,Hatchback,60000,Manual,MARUTI,2014,420000,Third Party,5 Seats,Second Owner,1197,18.5,85.8,Bangalore,11
Petrol,Hatchback,60000,Manual,MARUTI,2014,420000,Third Party,5 Seats,Second Owner,1197,18.5,85.8,Bangalore,11
Petrol,Hatchback,10000,Manual,HYUNDAI,2021,920000,Third Party,5 Seats,First Owner,998,20,118.36,Bangalore,4
Petrol,Sedan,49873,Manual,HONDA,2013,533000,Third Party,5 Seats,First Owner,1497,16.8,116.3,Bangalore,12
Petrol,Hatchback,90000,Automatic,VOLKSWAGEN,2013,850000,Third Party,5 Seats,Third Owner,1197,17.2,103.6,Bangalore,12
Diesel,Sedan,48960,Manual,SKODA,2017,751000,Third Party,5 Seats,Second Owner,1498,21.13,108.6,Bangalore,8
Diesel,Hatchback,70000,Manual,HYUNDAI,2014,388000,Third Party,5 Seats,Second Owner,1120,24,70,Bangalore,11
Petrol,Hatchback,68000,Manual,HYUNDAI,2013,490000,Comprehensive,5 Seats,Second Owner,1197,18.5,82.85,Bangalore,12
Diesel,SUV,23017,Manual,MAHINDRA,2016,494000,Third Party,6 Seats,First Owner,1198,25.32,77,Bangalore,9
Diesel,Hatchback,83000,Manual,HYUNDAI,2013,525000,Comprehensive,5 Seats,Second Owner,1396,21.27,88.76,Bangalore,12
Diesel,SUV,92000,Automatic,BMW,2016,2890000,Comprehensive,5 Seats,Second Owner,1995,16.55,187.74,Bangalore,9
Petrol,Hatchback,62139,Manual,MARUTI,2018,550000,Comprehensive,5 Seats,First Owner,998,20.51,67.04,Bangalore,7
Lpg,Hatchback,74000,Manual,HYUNDAI,2013,365000,Comprehensive,5 Seats,First Owner,1086,19.2,68.05,Bangalore,12
Petrol,Hatchback,26500,Automatic,RENAULT,2016,420000,Comprehensive,5 Seats,Second Owner,999,24.04,67,Bangalore,9
Diesel,Sedan,81716,Automatic,VOLVO,2017,1895000,Comprehensive,5 Seats,First Owner,1969,27.03,190,Bangalore,8
Diesel,Sedan,24000,Automatic,MERCEDES-BENZ,2018,5990000,Comprehensive,5 Seats,Second Owner,2143,17,254.8,Bangalore,7
Petrol,SUV,10000,Automatic,MAHINDRA,2022,1050000,Third Party,5 Seats,First Owner,1197,17,108.6,Bangalore,3
