ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,SUV,10000,Automatic,SKODA,2022,1755000,Comprehensive,5 Seats,First Owner,999,17.2,113.98,Chennai,3
Petrol,SUV,50000,Manual,KIA,2019,1050000,Third Party,5 Seats,First Owner,1497,16.8,113.43,Chennai,6
Petrol,SUV,30000,Manual,TOYOTA,2021,1000000,Third Party,5 Seats,First Owner,1462,17.03,103.26,Chennai,4
Petrol,Sedan,29000,Automatic,SKODA,2018,850000,Third Party,5 Seats,First Owner,1598,14.84,103.2,Chennai,7
Petrol,Hatchback,55940,Manual,HYUNDAI,2014,508000,Third Party,5 Seats,Second Owner,1197,18.6,81.83,Chennai,11
Diesel,Sedan,115915,Manual,HONDA,2018,851000,Third Party,5 Seats,Second Owner,1498,25.6,97.9,Chennai,7
Petrol,Hatchback,1000,Automatic,RENAULT,2022,625000,Comprehensive,5 Seats,First Owner,999,22.3,67.06,Chennai,3
Petrol,Hatchback,96184,Automatic,HONDA,2016,560000,Comprehensive,5 Seats,Second Owner,1199,19,88.7,Chennai,9
Petrol,Hatchback,87780,Manual,HYUNDAI,2014,335000,Comprehensive,5 Seats,First Owner,1086,19.81,68.05,Chennai,11
Petrol,Hatchback,118921,Manual,HYUNDAI,2015,445000,Comprehensive,5 Seats,First Owner,1197,18.6,81.83,Chennai,10
Diesel,SUV,73834,Manual,FORD,2019,830000,Comprehensive,5 Seats,Second Owner,1498,23,98.96,Chennai,6
Diesel,SUV,20000,Automatic,MAHINDRA,2022,1790000,Comprehensive,4 Seats,First Owner,2184,15.54314181,130,Chennai,3
Petrol,Hatchback,38514,Manual,MARUTI,2016,630000,Comprehensive,5 Seats,First Owner,1197,21.4,83.1,Chennai,9
Petrol,Sedan,74401,Manual,MARUTI,2016,527000,Comprehensive,5 Seats,Second Owner,1197,22.41,88.5,Chennai,9
Petrol,SUV,40000,Automatic,HYUNDAI,2020,1320000,Third Party,5 Seats,First Owner,1353,16.8,138.12,Chennai,5
Petrol,Hatchback,9000,Manual,MARUTI,2022,860000,Comprehensive,5 Seats,First Owner,1197,22.38,88.5,Chennai,3
Petrol,SUV,50000,Manual,HYUNDAI,2017,766000,Third Party,5 Seats,First Owner,1591,15.29,121.3,Chennai,8
Petrol,Sedan,40000,Manual,MARUTI,2020,610000,Third Party,5 Seats,First Owner,1197,22.41,88.5,Chennai,5
Diesel,Sedan,80000,Automatic,SKODA,2015,475000,Third Party,5 Seats,Third Owner,1498,21.66,103.52,Chennai,10
Petrol,Hatchback,82000,Manual,HYUNDAI,2014,390000,Third Party,5 Seats,Second Owner,1197,18.9,82,Chennai,11
Petrol,Sedan,32947,Automatic,HYUNDAI,2020,680000,Comprehensive,5 Seats,First Owner,1197,20.1,81.86,Chennai,5
Diesel,SUV,9000,Manual,JEEP,2022,3150000,Comprehensive,7 Seats,First Owner,1956,16.64862173,172.35,Chennai,3
Petrol,Sedan,25000,Manual,HYUNDAI,2018,855000,Comprehensive,5 Seats,First Owner,1591,17,121.3,Chennai,7
Petrol,MUV,10000,Manual,MARUTI,2022,1200000,Third Party,6 Seats,First Owner,1462,19.01,103.2,Chennai,3
Petrol,Sedan,8413,Manual,SKODA,2022,1786000,Zero Dep,5 Seats,First Owner,1498,18.72,147.52,Chennai,3
Petrol,Hatchback,34460,Manual,HYUNDAI,2016,614000,Comprehensive,5 Seats,First Owner,1197,18.6,81.83,Chennai,9
Petrol,Sedan,33886,Manual,MARUTI,2010,340000,Comprehensive,5 Seats,First Owner,1298,17.5,85.8,Chennai,15
Petrol,Hatchback,57910,Manual,HYUNDAI,2016,558000,Third Party,5 Seats,Second Owner,1197,17.19,81.86,Chennai,9
Petrol,MUV,46233,Manual,RENAULT,2020,650000,Comprehensive,7 Seats,Second Owner,999,20,71.01,Chennai,5
Petrol,Sedan,60000,Automatic,HONDA,2017,950000,Comprehensive,5 Seats,First Owner,1498,18.3,119.35,Chennai,8
Petrol,Hatchback,48979,Manual,MARUTI,2021,710000,Third Party,5 Seats,First Owner,1197,22.38,88.5,Chennai,4
Petrol,SUV,42000,Automatic,MG,2019,1700000,Comprehensive,5 Seats,First Owner,1451,13.96,141,Chennai,6
Diesel,SUV,106165,Manual,FORD,2016,684000,Comprehensive,5 Seats,First Owner,1498,22.77,98.59,Chennai,9
Petrol,Hatchback,91261,Manual,DATSUN,2018,309000,Third Party,5 Seats,First Owner,799,22.7,53.64,Chennai,7
Petrol,Hatchback,36711,Manual,MARUTI,2018,500000,Comprehensive,5 Seats,First Owner,998,21.63,67.05,Chennai,7
Petrol,Sedan,9000,Automatic,BMW,2021,5500000,Comprehensive,5 Seats,First Owner,1998,15.3,254.79,Chennai,4
Petrol,Hatchback,30428,Manual,MARUTI,2018,650000,Third Party,5 Seats,First Owner,1197,21.4,83.1,Chennai,7
Petrol,Hatchback,49791,Manual,RENAULT,2018,360000,Comprehensive,5 Seats,First Owner,999,23.01,67,Chennai,7
Diesel,SUV,40000,Manual,MG,2021,1875000,Third Party,6 Seats,First Owner,1956,16.65,167.67,Chennai,4
Petrol,Sedan,40000,Manual,HYUNDAI,2014,450000,Third Party,5 Seats,Second Owner,1197,19.1,82,Chennai,11
Petrol,Hatchback,50000,Automatic,MARUTI,2018,660000,Third Party,5 Seats,Second Owner,1197,21.4,83.1,Chennai,7
Diesel,SUV,60000,Manual,MARUTI,2019,950000,Third Party,5 Seats,First Owner,1248,24.3,88.5,Chennai,6
Petrol,Sedan,60000,Manual,VOLKSWAGEN,2017,500000,Third Party,5 Seats,First Owner,1198,17,74,Chennai,8
Diesel,SUV,70000,Automatic,FORD,2017,2390000,Third Party,7 Seats,First Owner,2198,12.62,158,Chennai,8
Petrol,Hatchback,107158,Manual,MARUTI,2014,361000,Third Party,5 Seats,Second Owner,998,20.51,67.04,Chennai,11
Petrol,Hatchback,90811,Manual,HYUNDAI,2019,549000,Third Party,5 Seats,First Owner,1197,18.9,81.86,Chennai,6
Petrol,Hatchback,76454,Manual,FORD,2012,210000,Comprehensive,5 Seats,Third Owner,1196,15.6,70,Chennai,13
Petrol,Hatchback,57464,Manual,MARUTI,2021,704000,Third Party,5 Seats,First Owner,1197,22.38,88.5,Chennai,4
Petrol,Sedan,95072,Manual,HONDA,2019,729000,Comprehensive,5 Seats,First Owner,1199,19.5,88.76,Chennai,6
Petrol,Sedan,51789,Automatic,HONDA,2014,700000,Comprehensive,5 Seats,First Owner,1497,18,117.3,Chennai,11
Petrol,Hatchback,56028,Manual,HYUNDAI,2018,619000,Third Party,5 Seats,Second Owner,1197,18.6,81.83,Chennai,7
Petrol,Sedan,60000,Manual,HONDA,2017,725000,Third Party,5 Seats,First Owner,1497,17.8,117.3,Chennai,8
Petrol,Hatchback,36460,Manual,HYUNDAI,2020,621000,Zero Dep,5 Seats,First Owner,1197,20.7,81.86,Chennai,5
Petrol,Sedan,103249,Manual,HONDA,2020,685000,Zero Dep,5 Seats,First Owner,1199,19.5,88.76,Chennai,5
Petrol,Sedan,45568,Manual,HONDA,2021,950000,Third Party,5 Seats,First Owner,1498,18.6,119.35,Chennai,4
Diesel,SUV,130000,Automatic,FORD,2017,1850000,Comprehensive,7 Seats,First Owner,2198,12.62,158,Chennai,8
Diesel,SUV,60000,Manual,MG,2021,1850000,Third Party,6 Seats,First Owner,1956,16.65,167.67,Chennai,4
Diesel,Sedan,100521,Manual,SKODA,2013,410000,Comprehensive,5 Seats,First Owner,1598,20.5,103.5,Chennai,12
Petrol,Sedan,42709,Manual,VOLKSWAGEN,2019,570000,Comprehensive,5 Seats,First Owner,999,19.44,75,Chennai,6
Diesel,SUV,150000,Manual,MAHINDRA,2016,550000,Third Party,7 Seats,Second Owner,1493,18.49,100,Chennai,9
Petrol,Sedan,100000,Manual,HONDA,2015,600000,Third Party,5 Seats,First Owner,1497,17.4,117.3,Chennai,10
Diesel,Sedan,120000,Manual,VOLKSWAGEN,2009,226000,Third Party,5 Seats,Third Owner,1896,15,105,Chennai,16
Petrol,Sedan,30000,Automatic,HYUNDAI,2018,1350000,Comprehensive,5 Seats,First Owner,1999,14.62,149.92,Chennai,7
Diesel,Sedan,70000,Automatic,BMW,2016,2600000,Third Party,5 Seats,First Owner,1995,22.69,190,Chennai,9
Petrol,Hatchback,104279,Manual,HYUNDAI,2014,365000,Third Party,5 Seats,First Owner,1197,18.9,82,Chennai,11
Petrol,Hatchback,73321,Manual,HYUNDAI,2018,707000,Comprehensive,5 Seats,First Owner,1197,17.19,81.86,Chennai,7
Petrol,Sedan,50000,Manual,HYUNDAI,2017,800000,Third Party,5 Seats,First Owner,1591,17,121.3,Chennai,8
Petrol,Hatchback,34279,Manual,HYUNDAI,2018,520000,Zero Dep,5 Seats,First Owner,1086,20.3,68,Chennai,7
Petrol,Hatchback,55040,Manual,HYUNDAI,2016,602000,Comprehensive,5 Seats,Second Owner,1197,18.6,81.83,Chennai,9
Diesel,Sedan,39000,Automatic,HYUNDAI,2018,1050000,Comprehensive,5 Seats,Second Owner,1582,22,126.2,Chennai,7
Diesel,Hatchback,104336,Manual,HYUNDAI,2014,546000,Comprehensive,5 Seats,Second Owner,1396,22.54,88.73,Chennai,11
Diesel,Sedan,45000,Automatic,VOLVO,2019,3475000,Comprehensive,5 Seats,Third Owner,1969,18,190,Chennai,6
Petrol,Sedan,69617,Manual,HONDA,2020,1188000,Third Party,5 Seats,First Owner,1498,18.6,119.35,Chennai,5
Petrol,Hatchback,47429,Manual,HYUNDAI,2016,621000,Comprehensive,5 Seats,First Owner,1197,18.6,81.83,Chennai,9
Petrol,Hatchback,67000,Manual,MARUTI,2015,515000,Comprehensive,5 Seats,First Owner,1197,21.21,81.8,Chennai,10
Petrol,Hatchback,80000,Manual,VOLKSWAGEN,2016,600000,Third Party,5 Seats,First Owner,1199,16.2,74,Chennai,9
Petrol,Hatchback,27000,Manual,VOLKSWAGEN,2018,775000,Comprehensive,5 Seats,First Owner,999,18.78,75,Chennai,7
Diesel,SUV,56000,Manual,FORD,2016,645000,Comprehensive,5 Seats,Second Owner,1498,22.77,98.59,Chennai,9
Petrol,Sedan,33379,Manual,HONDA,2018,650000,Comprehensive,5 Seats,First Owner,1199,18.6,88.76,Chennai,7
Diesel,Sedan,80000,Manual,MARUTI,2017,700000,Third Party,5 Seats,First Owner,1248,28.09,88.5,Chennai,8
Petrol,Sedan,90000,Manual,HYUNDAI,2016,437000,Third Party,5 Seats,First Owner,1197,19.1,82,Chennai,9
Petrol,Sedan,50197,Manual,HYUNDAI,2015,460000,Third Party,5 Seats,First Owner,1197,19.1,82,Chennai,10
Petrol,Sedan,80000,Manual,HYUNDAI,2012,250000,Third Party,5 Seats,Second Owner,1495,16.36,93.7,Chennai,13
Petrol,Hatchback,60611,Manual,HONDA,2016,520000,Third Party,5 Seats,First Owner,1199,18.7,88.7,Chennai,9
Petrol,SUV,61120,Manual,FORD,2017,566000,Third Party,5 Seats,Third Owner,1499,15.85,110.4,Chennai,8
Petrol,Hatchback,55415,Manual,RENAULT,2019,403000,Third Party,5 Seats,First Owner,999,23.01,67,Chennai,6
Diesel,SUV,52000,Automatic,JAGUAR,2018,4950000,Comprehensive,5 Seats,First Owner,1999,16.38,177,Chennai,7
Petrol,Hatchback,48579,Manual,HONDA,2015,517000,Comprehensive,5 Seats,First Owner,1199,18.7,88.7,Chennai,10
Petrol,Sedan,59532,Manual,HYUNDAI,2016,449000,Third Party,5 Seats,Second Owner,1197,19.1,82,Chennai,9
Petrol,Sedan,71086,Manual,HONDA,2014,455000,Comprehensive,5 Seats,Second Owner,1497,17,116.37,Chennai,11
Petrol,Sedan,113231,Manual,VOLKSWAGEN,2014,643000,Third Party,5 Seats,First Owner,1390,14.69,120.3,Chennai,11
Diesel,SUV,106338,Manual,MAHINDRA,2018,705000,Comprehensive,7 Seats,Second Owner,1493,18.49,100,Chennai,7
Diesel,Hatchback,40629,Manual,TATA,2021,889000,Third Party,5 Seats,First Owner,1497,23.64,88.77,Chennai,4
Diesel,Sedan,73341,Automatic,MARUTI,2016,621000,Third Party,5 Seats,Second Owner,1248,26.59,74,Chennai,9
Diesel,Sedan,39001,Automatic,BMW,2011,1400000,Comprehensive,5 Seats,Second Owner,1995,22.69,190,Chennai,14
Petrol,Sedan,81532,Manual,HONDA,2014,630000,Comprehensive,5 Seats,First Owner,1497,17.4,117.6,Chennai,11
Petrol,Sedan,108818,Manual,HONDA,2015,530000,Third Party,5 Seats,First Owner,1497,17.4,117.6,Chennai,10
Petrol,Hatchback,35419,Manual,MARUTI,2017,678000,Third Party,5 Seats,First Owner,1197,21.01,81.8,Chennai,8
Diesel,Sedan,80000,Automatic,MERCEDES-BENZ,2011,1200000,Third Party,5 Seats,Second Owner,2143,19.71,201.15,Chennai,14
Diesel,Sedan,100000,Manual,RENAULT,2014,524000,Third Party,5 Seats,Second Owner,1461,20.4,108.45,Chennai,11
Diesel,Sedan,12000,Automatic,AUDI,2014,2150000,Comprehensive,5 Seats,First Owner,1968,17.11,174.33,Chennai,11
Diesel,Sedan,70001,Manual,HYUNDAI,2011,675000,Comprehensive,5 Seats,First Owner,1582,22.32,126.32,Chennai,14
Diesel,Sedan,61331,Manual,HYUNDAI,2014,470000,Comprehensive,5 Seats,First Owner,1120,24.4,71.01,Chennai,11
Diesel,Sedan,51438,Manual,HONDA,2014,530000,Third Party,5 Seats,First Owner,1498,25.8,98.6,Chennai,11
Petrol,Hatchback,67988,Manual,HYUNDAI,2019,463000,Comprehensive,5 Seats,First Owner,1086,20.3,68,Chennai,6
Petrol,Hatchback,36032,Automatic,HONDA,2019,727000,Zero Dep,5 Seats,Second Owner,1199,18.2,88.7,Chennai,6
Petrol,Sedan,114883,Manual,HONDA,2015,515000,Comprehensive,5 Seats,First Owner,1497,17.4,117.6,Chennai,10
Petrol,Sedan,88584,Manual,MARUTI,2016,547000,Zero Dep,5 Seats,First Owner,1197,22.41,88.5,Chennai,9
Diesel,Hatchback,97419,Manual,MARUTI,2012,307000,Third Party,5 Seats,Second Owner,1248,23.2,73.94,Chennai,13
Petrol,SUV,70000,Automatic,BMW,2019,4800000,Third Party,5 Seats,First Owner,1998,13.17,248.08,Chennai,6
Diesel,SUV,106498,Manual,FORD,2015,529000,Comprehensive,5 Seats,Second Owner,1498,22.7,89.84,Chennai,10
Petrol,SUV,70000,Automatic,BMW,2019,4800000,Third Party,5 Seats,First Owner,1998,13.17,248.08,Chennai,6
Diesel,Hatchback,68177,Manual,MARUTI,2016,624000,Comprehensive,5 Seats,Second Owner,1248,25.2,74,Chennai,9
Petrol,Sedan,27524,Manual,SKODA,2022,1816000,Zero Dep,5 Seats,First Owner,1498,18.72,147.52,Chennai,3
Diesel,SUV,75471,Manual,MARUTI,2017,850000,Comprehensive,5 Seats,First Owner,1248,23.65,88.5,Chennai,8
Petrol,Sedan,8000,Manual,HONDA,2021,745000,Comprehensive,5 Seats,First Owner,1199,18.6,88.5,Chennai,4
Petrol,MUV,13200,Automatic,KIA,2022,1690000,Comprehensive,6 Seats,First Owner,1482,18.94685628,157.81,Chennai,3
Petrol,SUV,20000,Manual,HYUNDAI,2021,1150000,Third Party,5 Seats,First Owner,1497,18.87412734,113.18,Chennai,4
Diesel,SUV,20000,Automatic,CITROEN,2022,3000000,Third Party,5 Seats,First Owner,1997,18.6,174.33,Chennai,3
Petrol,Hatchback,60730,Manual,MARUTI,2017,310000,Comprehensive,5 Seats,First Owner,998,23.95,67.05,Chennai,8
Petrol,Sedan,44494,Manual,MARUTI,2016,495000,Comprehensive,5 Seats,Second Owner,1197,20.85,83.14,Chennai,9
Petrol,MUV,20000,Manual,MARUTI,2017,800000,Third Party,7 Seats,First Owner,1373,17.5,91.1,Chennai,8
Diesel,SUV,45673,Automatic,TATA,2019,825000,Comprehensive,5 Seats,First Owner,1497,21.5,108.5,Chennai,6
Diesel,SUV,26000,Manual,TOYOTA,2020,3575000,Comprehensive,7 Seats,First Owner,2982,14.24,174.5,Chennai,5
Petrol,Sedan,51878,Manual,HYUNDAI,2017,774000,Third Party,5 Seats,First Owner,1591,17.01,121.3,Chennai,8
Petrol,Hatchback,56747,Automatic,NISSAN,2017,525000,Third Party,5 Seats,First Owner,1198,19.15,75.94,Chennai,8
Petrol,Hatchback,38000,Manual,MARUTI,2018,600000,Comprehensive,5 Seats,First Owner,1197,20.4,81.8,Chennai,7
Petrol,Hatchback,76457,Manual,HYUNDAI,2016,582000,Zero Dep,5 Seats,Second Owner,1197,18.6,81.83,Chennai,9
Petrol,Hatchback,78880,Manual,HONDA,2017,551000,Comprehensive,5 Seats,Second Owner,1199,18.7,88.7,Chennai,8
Petrol,Sedan,19593,Manual,MARUTI,2015,525000,Comprehensive,5 Seats,First Owner,1197,20.85,83.14,Chennai,10
Petrol,Hatchback,84429,Manual,HYUNDAI,2016,583000,Zero Dep,5 Seats,First Owner,1197,18.6,81.83,Chennai,9
Diesel,Hatchback,27599,Manual,HYUNDAI,2021,825000,Third Party,5 Seats,First Owner,1493,25,98.63,Chennai,4
Petrol,MUV,76898,Manual,RENAULT,2020,670000,Zero Dep,7 Seats,First Owner,999,20,71.01,Chennai,5
Petrol,Hatchback,119070,Manual,VOLKSWAGEN,2013,396000,Comprehensive,5 Seats,Second Owner,1198,16.47,73.9,Chennai,12
Diesel,Hatchback,120000,Manual,TATA,2004,49000,Third Party,5 Seats,Second Owner,1405,13.5,82.81731474,Chennai,21
Petrol,Sedan,32199,Manual,MARUTI,2017,590000,Third Party,5 Seats,First Owner,1197,20.85,83.14,Chennai,8
Petrol,Hatchback,85607,Manual,TATA,2016,400000,Comprehensive,5 Seats,First Owner,1199,23.84,84,Chennai,9
Petrol,Hatchback,30000,Manual,MARUTI,2019,700000,Third Party,5 Seats,First Owner,1197,21.4,83.1,Chennai,6
Diesel,SUV,80000,Manual,MAHINDRA,2017,700000,Third Party,7 Seats,First Owner,1493,18.49,100,Chennai,8
Diesel,SUV,100000,Manual,MAHINDRA,2019,1150000,Comprehensive,7 Seats,First Owner,2179,15.56738479,136.78,Chennai,6
Petrol,Hatchback,45429,Automatic,HONDA,2016,595000,Comprehensive,5 Seats,First Owner,1199,19,88.7,Chennai,9
Petrol,Hatchback,9000,Manual,RENAULT,2019,460000,Comprehensive,5 Seats,First Owner,799,22.25,53.26,Chennai,6
Petrol,Hatchback,31000,Manual,MARUTI,2019,395000,Comprehensive,5 Seats,First Owner,796,24.7,47.3,Chennai,6
Diesel,Hatchback,81488,Manual,VOLKSWAGEN,2013,435000,Comprehensive,5 Seats,First Owner,1498,20.14,88.8,Chennai,12
Petrol,Hatchback,94439,Manual,VOLKSWAGEN,2019,666000,Third Party,5 Seats,First Owner,999,18.78,75,Chennai,6
Petrol,Hatchback,98481,Manual,MARUTI,2013,380000,Third Party,5 Seats,Third Owner,1197,22.38,88.5,Chennai,12
Petrol,Hatchback,20000,Manual,MARUTI,2018,700000,Third Party,5 Seats,First Owner,1197,21.4,83.1,Chennai,7
Diesel,Sedan,100894,Automatic,VOLKSWAGEN,2016,692000,Comprehensive,5 Seats,Second Owner,1498,22.15,108.6,Chennai,9
Diesel,Hatchback,86215,Manual,MARUTI,2016,590000,Third Party,5 Seats,First Owner,1248,25.2,74,Chennai,9
Diesel,Sedan,120000,Manual,FORD,2006,125000,Third Party,5 Seats,Second Owner,1399,17.8,84.67670563,Chennai,19
Petrol,Hatchback,98115,Manual,VOLKSWAGEN,2017,520000,Third Party,5 Seats,Second Owner,1199,16.2,74,Chennai,8
Petrol,Sedan,47125,Manual,MARUTI,2019,695000,Third Party,5 Seats,First Owner,1298,17.5,85.8,Chennai,6
Petrol,Hatchback,4453,Manual,MARUTI,2022,607000,Third Party,5 Seats,First Owner,1197,23.56,88.5,Chennai,3
Petrol,SUV,9991,Manual,TATA,2022,688000,Third Party,5 Seats,First Owner,1199,20.09,86.63,Chennai,3
Petrol,Hatchback,4564,Manual,MARUTI,2021,660000,Comprehensive,5 Seats,First Owner,998,18.9,67.1,Chennai,4
Diesel,Hatchback,108713,Manual,FORD,2012,250000,Comprehensive,5 Seats,First Owner,1399,20,68,Chennai,13
Petrol,Sedan,13000,Manual,HONDA,2021,1245000,Comprehensive,5 Seats,First Owner,1498,18.6,119.35,Chennai,4
Petrol,SUV,55450,Manual,HONDA,2017,575000,Comprehensive,5 Seats,Second Owner,1199,17.5,88.7,Chennai,8
Petrol,SUV,49000,Manual,HYUNDAI,2016,845000,Comprehensive,5 Seats,First Owner,1591,13,121.3,Chennai,9
Petrol,Sedan,86694,Manual,HYUNDAI,2015,405000,Comprehensive,5 Seats,First Owner,1197,20.14,81.86,Chennai,10
Diesel,Sedan,150000,Manual,MARUTI,2013,300000,Third Party,5 Seats,Second Owner,1248,23.4,74,Chennai,12
Petrol,Sedan,25284,Manual,HONDA,2019,925000,Third Party,5 Seats,First Owner,1497,17.4,117.6,Chennai,6
Petrol,Hatchback,30000,Manual,TOYOTA,2021,750000,Third Party,5 Seats,First Owner,1197,21.01,81.8,Chennai,4
Diesel,Sedan,109000,Automatic,BMW,2015,1300000,Third Party,5 Seats,Second Owner,1995,18.88,184,Chennai,10
Petrol,MUV,4605,Manual,KIA,2022,1714000,Comprehensive,6 Seats,First Owner,1353,16.2,138.05,Chennai,3
Petrol,SUV,49218,Manual,KIA,2020,928000,Comprehensive,5 Seats,First Owner,998,18.2,118.36,Chennai,5
Petrol,Sedan,45568,Manual,HONDA,2021,950000,Comprehensive,5 Seats,First Owner,1498,18.6,119.35,Chennai,4
Petrol,SUV,36035,Manual,TATA,2022,702000,Third Party,5 Seats,First Owner,1199,20.09,86.63,Chennai,3
Diesel,SUV,45242,Manual,MAHINDRA,2020,845000,Comprehensive,5 Seats,First Owner,1497,20.1,115.05,Chennai,5
Diesel,SUV,38000,Automatic,LAND ROVER,2018,3475000,Comprehensive,7 Seats,Second Owner,2179,12.51,187.7,Chennai,7
Petrol,Hatchback,52979,Automatic,TATA,2019,513000,Comprehensive,5 Seats,First Owner,1199,23.84,83.83,Chennai,6
Diesel,Sedan,67130,Manual,HONDA,2015,570000,Third Party,5 Seats,Second Owner,1498,24.7,98.63,Chennai,10
Petrol,SUV,19595,Manual,HONDA,2018,851000,Comprehensive,7 Seats,First Owner,1497,15.4,117.3,Chennai,7
Diesel,SUV,23183,Manual,MAHINDRA,2022,2350000,Third Party,7 Seats,First Owner,2198,15.47526147,172.45,Chennai,3
Diesel,Sedan,15000,Automatic,BMW,2022,5790000,Comprehensive,5 Seats,First Owner,1995,19.62,187.4,Chennai,3
Petrol,Hatchback,67558,Manual,MARUTI,2014,370000,Comprehensive,5 Seats,First Owner,998,23.1,67.04,Chennai,11
Petrol,SUV,40000,Manual,HYUNDAI,2021,1900000,Third Party,6 Seats,First Owner,1999,14.5,156.9,Chennai,4
Petrol,Hatchback,55664,Manual,VOLKSWAGEN,2014,460000,Comprehensive,5 Seats,First Owner,1198,16.47,74,Chennai,11
Petrol,Hatchback,55664,Manual,VOLKSWAGEN,2014,460000,Third Party,5 Seats,First Owner,1198,16.47,74,Chennai,11
Diesel,Hatchback,109324,Manual,HYUNDAI,2013,365000,Comprehensive,5 Seats,First Owner,1396,21.9,88.76,Chennai,12
Diesel,SUV,118008,Automatic,SKODA,2018,2600000,Comprehensive,7 Seats,First Owner,1968,16.25,148,Chennai,7
Diesel,SUV,72000,Manual,RENAULT,2016,790000,Comprehensive,5 Seats,First Owner,1461,19.72,108.45,Chennai,9
Diesel,Hatchback,86630,Manual,MARUTI,2013,450000,Comprehensive,5 Seats,First Owner,1248,22.9,74,Chennai,12
Petrol,Hatchback,82476,Manual,MARUTI,2014,370000,Comprehensive,5 Seats,First Owner,998,20.51,67.04,Chennai,11
Petrol,Hatchback,27749,Automatic,HYUNDAI,2019,665000,Third Party,5 Seats,Second Owner,1197,20.7,81.86,Chennai,6
Petrol,SUV,21609,Automatic,HYUNDAI,2020,1036000,Third Party,5 Seats,First Owner,998,18.15,118.35,Chennai,5
Petrol,Sedan,89609,Manual,HONDA,2019,875000,Third Party,5 Seats,First Owner,1493,16,106,Chennai,6
Diesel,Hatchback,83556,Manual,FORD,2019,539000,Comprehensive,5 Seats,Second Owner,1498,24.4,98.63,Chennai,6
Petrol,SUV,31513,Manual,TATA,2022,847000,Third Party,5 Seats,First Owner,1199,20.09,86.63,Chennai,3
Petrol,Sedan,45939,Manual,HONDA,2016,755000,Third Party,5 Seats,First Owner,1497,17.4,117.6,Chennai,9
Petrol,Hatchback,40531,Manual,TATA,2020,496000,Third Party,5 Seats,First Owner,1199,19.01,84.82,Chennai,5
Diesel,MUV,120000,Manual,MAHINDRA,2009,375000,Third Party,7 Seats,Third Owner,2523,13.6,63,Chennai,16
Petrol,SUV,17663,Automatic,MARUTI,2020,1009000,Third Party,5 Seats,First Owner,1462,18.76,103.26,Chennai,5
Petrol,Hatchback,77706,Manual,HYUNDAI,2013,339000,Third Party,5 Seats,Third Owner,1197,18.9,82,Chennai,12
Diesel,SUV,49000,Automatic,AUDI,2016,4900000,Comprehensive,7 Seats,First Owner,2967,14.75,245,Chennai,9
Diesel,SUV,60000,Automatic,VOLVO,2019,6800000,Comprehensive,7 Seats,First Owner,1969,17.2,235,Chennai,6
Diesel,Sedan,35000,Automatic,BMW,2018,3400000,Comprehensive,5 Seats,First Owner,1995,20.37,187.74,Chennai,7
Diesel,SUV,54000,Automatic,JAGUAR,2018,5000000,Comprehensive,5 Seats,First Owner,1999,16.38,177,Chennai,7
Petrol,Sedan,110000,Manual,HONDA,2010,519000,Third Party,5 Seats,First Owner,2354,12.8,177.6,Chennai,15
Diesel,SUV,135000,Automatic,AUDI,2013,2150000,Comprehensive,7 Seats,Second Owner,2967,12.07,241.4,Chennai,12
Diesel,Sedan,80000,Automatic,AUDI,2012,1450000,Comprehensive,5 Seats,First Owner,1968,17.11,174.33,Chennai,13
Diesel,SUV,72020,Manual,MARUTI,2018,825000,Third Party,5 Seats,First Owner,1248,23.65,88.5,Chennai,7
Diesel,MUV,98000,Manual,TOYOTA,2017,1850000,Comprehensive,7 Seats,First Owner,2393,13.68,147.8,Chennai,8
Petrol,Hatchback,36385,Manual,MARUTI,2007,165000,Third Party,5 Seats,First Owner,796,19.7,46.3,Chennai,18
Diesel,SUV,4259,Manual,HYUNDAI,2022,1991000,Third Party,7 Seats,First Owner,1493,20.4,113.98,Chennai,3
Diesel,SUV,12925,Automatic,TATA,2021,1994000,Third Party,5 Seats,First Owner,1956,14.6,167.67,Chennai,4
Petrol,SUV,27000,Automatic,VOLKSWAGEN,2022,1645000,Comprehensive,5 Seats,First Owner,1498,17.88,147.51,Chennai,3
Petrol,SUV,27425,Manual,TATA,2019,719000,Comprehensive,5 Seats,Second Owner,1198,17,108.5,Chennai,6
Petrol,Hatchback,13126,Automatic,MARUTI,2021,633000,Zero Dep,5 Seats,First Owner,998,26,65.71,Chennai,4
Petrol,MUV,57000,Manual,MARUTI,2018,799000,Third Party,7 Seats,First Owner,1462,19.34,103,Chennai,7
Petrol,Hatchback,24500,Automatic,MARUTI,2020,861000,Comprehensive,5 Seats,Second Owner,1197,21.4,83.1,Chennai,5
Petrol,Sedan,40000,Manual,MARUTI,2020,610000,Third Party,5 Seats,First Owner,1197,22.41,88.5,Chennai,5
Petrol,MUV,27216,Manual,RENAULT,2021,749000,Zero Dep,7 Seats,First Owner,999,20,71.01,Chennai,4
Petrol,Hatchback,12060,Manual,TATA,2021,648000,Comprehensive,5 Seats,First Owner,1199,19.01,84.82,Chennai,4
Diesel,Sedan,150000,Manual,MARUTI,2009,250000,Third Party,5 Seats,First Owner,1248,19.3,73.9,Chennai,16
